,day,cost_phones,cost_cases,cost_accessories,group
1022,5,28900,0,0,control
1023,5,35100,0,3400,control
1024,5,22200,0,3300,control
1025,5,24100,0,2200,control
1026,5,13500,2200,0,control
1027,5,36400,0,0,control
1028,5,29100,1900,0,control
1029,5,44300,2400,3800,control
1030,5,52600,0,0,control
1031,5,13800,2000,0,control
1032,5,55000,0,0,control
1033,5,18800,2000,0,control
1034,5,52300,0,3600,control
1035,5,26800,0,1500,control
1036,5,5300,2200,0,control
1037,5,22100,2700,0,control
1038,5,32200,0,2600,control
1039,5,28200,0,1400,control
1040,5,43900,0,0,control
1041,5,29800,0,0,control
1042,5,46500,0,0,control
1043,5,29400,0,0,control
1044,5,47300,2700,0,control
1045,5,13900,3300,1500,control
1046,5,31400,1900,0,control
1047,5,60200,0,0,control
1048,5,35100,0,0,control
1049,5,58900,1800,1400,control
1050,5,35900,2600,0,control
1051,5,41300,0,0,control
1052,5,62900,0,0,control
1053,5,43400,0,0,control
1054,5,40600,0,3400,control
1055,5,49000,0,0,control
1056,5,42700,0,0,control
1057,5,15100,2300,0,control
1058,5,20600,0,0,control
1059,5,72400,0,3000,control
1060,5,18500,0,0,control
1061,5,18700,2000,3800,control
1062,5,22500,2300,0,control
1063,5,41400,0,0,control
1064,5,12600,0,0,control
1065,5,49200,1700,0,control
1066,5,10000,1000,0,control
1067,5,32300,1400,0,control
1068,5,17400,2900,0,control
1069,5,25900,2000,0,control
1070,5,16100,0,3000,control
1071,5,35000,1700,0,control
1072,5,10600,0,0,control
1073,5,19500,0,0,control
1074,5,35900,2600,2100,control
1075,5,48200,0,0,control
1076,5,32200,2700,4300,control
1077,5,14200,2700,0,control
1078,5,62200,0,0,control
1079,5,52900,0,0,control
1080,5,16200,2200,0,control
1081,5,46100,0,0,control
1082,5,34000,0,0,control
1083,5,17000,2200,0,control
1084,5,46100,2800,0,control
1085,5,11100,0,0,control
1086,5,31500,2200,0,control
1087,5,24700,900,0,control
1088,5,59500,0,0,control
1089,5,54000,2900,1900,control
1090,5,38200,0,0,control
1091,5,31900,1700,0,control
1092,5,43800,0,0,control
1093,5,34600,0,0,control
1094,5,27700,0,0,control
1095,5,30600,0,0,control
1096,5,24500,0,0,control
1097,5,6700,0,0,control
1098,5,32200,0,0,control
1099,5,33200,0,0,control
1100,5,33100,0,0,control
1101,5,52800,0,0,control
1102,5,49500,0,0,control
1103,5,6600,0,0,control
1104,5,60100,0,3900,control
1105,5,72200,0,0,control
1106,5,63100,0,0,control
1107,5,65100,800,0,control
1108,5,12900,1800,2700,control
1109,5,40300,0,2100,control
1110,5,52300,0,0,control
1111,5,40500,0,1800,control
1112,5,35700,0,0,control
1113,5,59400,0,0,control
1114,5,49400,0,0,control
1115,5,57000,0,0,control
1116,5,31900,0,0,control
1117,5,21600,0,0,control
1118,5,54200,0,0,control
1119,5,4900,2600,3300,control
1120,5,68900,0,700,control
1121,5,17200,0,0,control
1122,5,38900,0,0,control
1123,5,48400,0,3500,control
1124,5,54700,0,1300,control
1125,5,27500,1300,2900,control
1126,5,22100,0,0,control
1127,5,6100,1700,2000,control
1128,5,41400,0,0,control
1129,5,50200,0,0,control
1130,5,13500,0,3000,control
1131,5,19100,0,2900,control
1132,5,43800,1800,0,control
1133,5,30100,0,0,control
1134,5,71600,1800,0,control
1135,5,50600,0,0,control
1136,5,9500,0,0,control
1137,5,60400,3200,0,control
1138,5,55600,0,0,control
1139,5,6600,2900,0,control
1140,5,49300,2100,0,control
1141,5,31200,2100,2400,control
1142,5,41900,0,0,control
1143,5,56400,0,3800,control
1144,5,35400,0,3900,control
1145,5,56400,0,0,control
1146,5,19300,0,0,control
1147,5,58300,0,3100,control
1148,5,35900,0,0,control
1149,5,32000,0,0,control
1150,5,48400,0,0,control
1151,5,20300,1500,0,control
1152,5,9600,0,0,control
1153,5,27000,0,5200,control
1154,5,31500,0,0,control
1155,5,32700,0,0,control
1156,5,44700,0,0,control
1157,5,65100,0,0,control
1158,5,15100,0,0,control
1159,5,30700,0,0,control
1160,5,7400,0,0,control
1161,5,74800,1400,2700,control
1162,5,12500,1500,0,control
1163,5,12400,0,0,control
1164,5,32900,0,0,control
1165,5,35400,2500,0,control
1166,5,9400,2500,0,control
1167,5,62800,2500,2200,control
1168,5,29500,0,0,control
1169,5,18800,0,0,control
1170,5,7600,0,0,control
1171,5,30200,3200,0,control
1172,5,16800,0,1900,control
1173,5,29500,0,0,control
1174,5,55600,0,0,control
1175,6,37900,2200,4800,control
1176,6,28600,2300,4100,control
1177,6,35600,0,2600,control
1178,6,37000,3100,0,control
1179,6,8900,2600,0,control
1180,6,52900,0,0,control
1181,6,25500,0,3300,control
1182,6,16500,2500,2900,control
1183,6,13300,0,0,control
1184,6,43000,1500,3500,control
1185,6,28000,2500,0,control
1186,6,70500,0,0,control
1187,6,41300,1700,0,control
1188,6,62600,0,3200,control
1189,6,44400,0,0,control
1190,6,17400,2000,0,control
1191,6,17300,0,2500,control
1192,6,55700,2000,0,control
1193,6,4500,2000,0,control
1194,6,70300,2900,0,control
1195,6,36200,0,2600,control
1196,6,50700,0,0,control
1197,6,16700,1600,0,control
1198,6,11200,2100,0,control
1199,6,17200,0,3800,control
1200,6,50600,0,0,control
1201,6,17500,2300,0,control
1202,6,14200,1200,0,control
1203,6,42400,0,0,control
1204,6,16300,3400,1700,control
1205,6,38300,0,0,control
1206,6,35200,0,0,control
1207,6,66300,3200,0,control
1208,6,28100,0,1800,control
1209,6,44600,0,0,control
1210,6,62200,0,0,control
1211,6,4300,0,0,control
1212,6,29300,2500,0,control
1213,6,37700,0,1500,control
1214,6,4600,2400,0,control
1215,6,34600,0,0,control
1216,6,67200,0,0,control
1217,6,47600,0,0,control
1218,6,17600,0,0,control
1219,6,40100,0,0,control
1220,6,76400,0,3600,control
1221,6,67700,0,0,control
1222,6,66100,0,0,control
1223,6,28400,0,0,control
1224,6,20700,700,0,control
1225,6,30600,2600,0,control
1226,6,36100,0,0,control
1227,6,41400,0,0,control
1228,6,30700,0,0,control
1229,6,16500,3000,2300,control
1230,6,50300,0,0,control
1231,6,35100,0,0,control
1232,6,36200,0,0,control
1233,6,17300,0,0,control
1234,6,39400,2600,3500,control
1235,6,39400,0,0,control
1236,6,23600,0,0,control
1237,6,50200,2400,0,control
1238,6,29500,0,0,control
1239,6,52300,1600,2400,control
1240,6,41400,2700,0,control
1241,6,52000,0,0,control
1242,6,28300,0,0,control
1243,6,34900,0,0,control
1244,6,56100,1900,0,control
1245,6,35200,2300,0,control
1246,6,10900,0,0,control
1247,6,56500,3200,0,control
1248,6,6400,0,0,control
1249,6,20500,0,2500,control
1250,6,49000,0,0,control
1251,6,63000,0,0,control
1252,6,16600,2200,0,control
1253,6,47600,2000,0,control
1254,6,42400,1900,0,control
1255,6,49700,0,0,control
1256,6,27200,0,0,control
1257,6,42700,1800,2300,control
1258,6,55100,0,0,control
1259,6,38700,3000,0,control
1260,6,35900,0,4000,control
1261,6,24000,1800,0,control
1262,6,21200,0,1600,control
1263,6,26700,0,3700,control
1264,6,67400,0,0,control
1265,6,62800,0,2400,control
1266,6,39600,1700,0,control
1267,6,55900,0,0,control
1268,6,47100,1900,0,control
1269,6,41000,0,0,control
1270,6,46000,2300,0,control
1271,6,21700,0,3300,control
1272,6,27800,2100,0,control
1273,6,37800,2100,0,control
1274,6,56700,0,0,control
1275,6,65000,1300,0,control
1276,6,49000,0,3900,control
1277,6,16300,0,0,control
1278,6,22800,2400,0,control
1279,6,42000,0,4300,control
1280,6,32100,2500,3400,control
1281,6,29200,0,3400,control
1282,6,40200,2600,0,control
1283,6,31700,0,2100,control
1284,6,19300,0,2000,control
1285,6,16200,2700,0,control
1286,6,32800,0,4700,control
1287,6,31800,1700,4200,control
1288,6,40500,2600,0,control
1289,6,30800,0,0,control
1290,6,24900,2400,0,control
1291,6,26200,0,0,control
1292,6,56800,2200,2600,control
1293,6,24900,0,3500,control
1294,6,60800,0,0,control
1295,6,24700,0,0,control
1296,6,39600,1600,2900,control
1297,6,51700,0,0,control
1298,6,55600,1500,0,control
1299,6,44500,0,0,control
1300,6,61800,0,0,control
1301,6,33500,0,0,control
1302,6,25900,0,0,control
1303,6,45900,0,0,control
1304,6,44700,0,0,control
1305,6,43500,2400,0,control
1306,6,53500,0,0,control
1307,6,26400,2900,0,control
1308,6,32500,0,0,control
1309,6,75600,0,0,control
1310,6,59200,2500,0,control
1311,6,13300,0,0,control
1312,6,53800,0,0,control
1313,6,15400,2200,3100,control
1314,6,50100,0,0,control
1315,6,52000,0,0,control
1316,6,72600,1900,0,control
1317,6,38100,0,0,control
1318,6,10900,0,3500,control
1319,6,56100,1300,0,control
1320,6,28200,0,0,control
1321,6,28400,0,0,control
1322,6,43700,2700,2400,control
1323,6,37900,1500,0,control
1324,6,16900,0,0,control
1325,6,38800,0,0,control
1326,6,27900,1800,3600,control
1327,6,45100,1800,3300,control
1328,6,23500,2300,2400,control
1329,6,28200,700,0,control
1330,6,51400,2800,0,control
1331,6,24200,0,3300,control
1332,6,30600,0,2800,control
1333,6,33800,0,2900,control
1334,6,13000,2000,0,control
1335,6,19600,0,2400,control
1336,6,36600,0,0,control
1337,6,5700,0,0,control
1338,6,41100,0,0,control
1339,6,44100,0,0,control
1340,6,42700,1300,0,control
1341,6,52400,0,0,control
1342,6,40900,0,0,control
1343,6,33000,2000,0,control
1344,6,30500,0,0,control
1345,6,18300,0,0,control
1346,6,45700,0,0,control
1347,6,30600,2700,0,control
1348,6,38700,2800,0,control
1349,6,8200,0,0,control
1350,6,9200,0,0,control
1351,6,21600,0,0,control
1352,6,39000,0,0,control
1353,6,12900,0,0,control
1354,6,50100,2000,2900,control
1355,6,48900,0,0,control
1356,6,9100,1400,0,control
1357,6,55200,2100,0,control
1358,6,34200,0,0,control
1359,6,6800,0,0,control
1360,6,14900,0,0,control
1361,6,49100,0,0,control
1362,6,21100,0,0,control
1363,6,33000,1900,0,control
1364,6,14400,0,1900,control
1365,6,36800,2400,3000,control
1366,6,41900,0,0,control
1367,6,28800,0,3200,control
1368,6,66800,2100,0,control
1369,6,46000,0,0,control
1370,6,36800,1400,0,control
1371,6,75300,1900,0,control
1372,6,49200,0,0,control
1373,6,29200,2000,0,control
1374,6,57300,0,0,control
1375,6,60600,1300,0,control
1376,6,52800,0,0,control
1377,6,34800,2300,0,control
1378,6,39100,2300,0,control
1379,6,30000,0,0,control
1380,6,47700,1300,0,control
1381,6,46800,0,3200,control
1382,6,20100,0,0,control
1383,6,16700,0,0,control
1384,6,79500,3100,3000,control
1385,6,44600,1800,1700,control
1386,6,61800,0,0,control
1387,6,25600,0,0,control
1388,6,50300,2700,1200,control
1389,6,68000,0,0,control
1390,6,21600,0,0,control
1391,6,17800,0,0,control
1392,6,7800,0,0,control
1393,6,43000,0,0,control
1394,6,19000,0,0,control
1395,6,46600,1600,0,control
1396,6,23100,0,0,control
1397,6,26800,2800,2000,control
1398,6,61400,0,0,control
1399,6,66700,0,0,control
1400,6,13300,2100,0,control
1401,6,12200,2100,0,control
1402,6,42300,0,0,control
1403,6,42400,0,3300,control
1404,6,18100,0,1500,control
1405,6,39600,0,0,control
1406,6,17000,1500,0,control
1407,6,26200,2600,0,control
1408,6,29500,0,0,control
1409,6,47500,0,0,control
1410,6,49800,0,0,control
1411,6,20900,2100,0,control
1412,6,39600,0,0,control
1413,6,4200,0,0,control
1414,6,16900,0,0,control
1415,7,13000,0,0,control
1416,7,41100,1900,0,control
1417,7,38500,0,0,control
1418,7,45300,1000,0,control
1419,7,15000,2400,0,control
1420,7,36700,0,0,control
1421,7,13400,0,0,control
1422,7,22900,0,0,control
1423,7,14200,0,0,control
1424,7,24100,3300,0,control
1425,7,21500,2600,0,control
1426,7,17600,0,0,control
1427,7,25900,1900,0,control
1428,7,38700,0,4000,control
1429,7,45800,2200,0,control
1430,7,45300,0,3000,control
1431,7,37600,0,0,control
1432,7,45500,2700,0,control
1433,7,32200,0,3800,control
1434,7,68500,0,0,control
1435,7,32000,2500,0,control
1436,7,26700,0,2600,control
1437,7,41700,0,0,control
1438,7,39100,2300,0,control
1439,7,25400,0,0,control
1440,7,46100,0,0,control
1441,7,48300,2900,2500,control
1442,7,18800,3100,0,control
1443,7,18400,0,0,control
1444,7,32800,1600,0,control
1445,7,52500,0,0,control
1446,7,23000,0,0,control
1447,7,43700,0,0,control
1448,7,59300,0,0,control
1449,7,38900,0,0,control
1450,7,46100,0,0,control
1451,7,22500,0,0,control
1452,7,23200,1400,0,control
1453,7,6500,3000,0,control
1454,7,49000,0,4100,control
1455,7,69400,2700,0,control
1456,7,56400,1800,0,control
1457,7,19700,0,4200,control
1458,7,58200,0,1500,control
1459,7,31200,0,0,control
1460,7,50200,2800,1700,control
1461,7,13500,0,3000,control
1462,7,22800,1700,0,control
1463,7,29700,2200,4100,control
1464,7,35500,0,3400,control
1465,7,27300,0,0,control
1466,7,21700,0,0,control
1467,7,24500,0,2000,control
1468,7,46900,0,0,control
1469,7,33700,0,0,control
1470,7,10000,0,0,control
1471,7,25800,1900,4900,control
1472,7,38700,1800,0,control
1473,7,5500,2300,0,control
1474,7,66300,3100,0,control
1475,7,32700,1200,3300,control
1476,7,26800,900,0,control
1477,7,23800,0,0,control
1478,7,52500,2600,0,control
1479,7,47300,0,0,control
1480,7,30700,0,0,control
1481,7,56200,0,0,control
1482,7,40800,0,2000,control
1483,7,40800,0,0,control
1484,7,43300,1600,600,control
1485,7,38300,0,0,control
1486,7,26800,1400,0,control
1487,7,65300,0,0,control
1488,7,24300,1700,0,control
1489,7,62600,2400,0,control
1490,7,19100,0,2000,control
1491,7,35700,2600,0,control
1492,7,39500,1800,3900,control
1493,7,36500,0,4100,control
1494,7,36000,0,1900,control
1495,7,46000,2000,0,control
1496,7,61800,0,0,control
1497,7,32100,0,0,control
1498,7,11200,0,1900,control
1499,7,25500,1300,0,control
1500,7,51500,2300,0,control
1501,7,15000,1400,4200,control
1502,7,78000,1500,0,control
1503,7,7000,2500,2800,control
1504,7,60400,0,0,control
1505,7,48000,0,3100,control
1506,7,67800,0,2400,control
1507,7,41400,0,0,control
1508,7,45300,0,0,control
1509,7,11700,0,0,control
1510,7,32700,0,0,control
1511,7,6000,0,0,control
1512,7,11300,2300,0,control
1513,7,56200,2000,0,control
1514,7,12800,0,0,control
1515,7,48000,0,0,control
1516,7,28900,0,0,control
1517,7,12700,0,2600,control
1518,7,64200,0,0,control
1519,7,51000,2800,0,control
1520,7,48200,1300,4300,control
1521,7,44000,0,0,control
1522,7,34400,1800,0,control
1523,7,25800,2300,0,control
1524,7,45700,1700,2500,control
1525,7,52200,0,0,control
1526,7,66000,0,0,control
1527,7,25600,1900,0,control
1528,7,20500,2000,2200,control
1529,7,49100,0,0,control
1530,7,50900,0,1500,control
1531,7,34200,2500,0,control
1532,7,30700,2400,0,control
1533,7,62200,0,3900,control
1534,7,46000,2000,0,control
1535,7,21000,1900,0,control
1536,7,31200,2100,3800,control
1537,7,16200,0,0,control
1538,7,23700,0,0,control
1539,7,32400,1600,0,control
1540,7,49700,1600,0,control
1541,7,10900,2900,0,control
1542,7,50100,0,0,control
1543,7,29800,0,0,control
1544,7,71300,1700,0,control
1545,7,10900,0,0,control
1546,7,34600,0,0,control
1547,7,50000,0,0,control
1548,7,6900,0,0,control
1549,7,28600,0,0,control
1550,7,52300,1800,0,control
1551,7,31400,0,4400,control
1552,7,23800,0,3900,control
1553,7,30900,1600,3500,control
1554,7,38800,0,0,control
1555,7,27900,0,0,control
1556,7,23700,2300,0,control
1557,7,43700,2900,700,control
1558,7,44200,0,0,control
1559,7,22000,0,0,control
1560,7,42300,0,600,control
1561,7,51100,3100,4900,control
1562,7,13400,0,0,control
1563,7,28200,0,2200,control
1564,7,47600,0,0,control
1565,7,43700,0,0,control
1566,7,12400,2400,0,control
1567,7,29000,0,1100,control
1568,7,60400,0,0,control
1569,7,60500,0,0,control
1570,7,37200,0,0,control
1571,7,30700,0,5600,control
1572,7,27900,0,0,control
1573,7,54600,800,0,control
1574,7,29800,0,0,control
1575,7,14700,0,0,control
1576,7,45400,0,3000,control
1577,7,66200,0,2400,control
1578,7,11200,0,0,control
1579,7,38100,0,0,control
1580,7,35300,3100,0,control
1581,7,18500,0,0,control
1582,7,13200,0,0,control
1583,7,27800,2000,0,control
1584,7,54400,2000,2800,control
1585,7,72900,0,0,control
1586,7,12900,0,0,control
1587,7,25200,2500,0,control
1588,7,62700,0,0,control
1589,7,17400,0,0,control
1590,7,44300,0,0,control
1591,7,48700,1700,0,control
1592,7,54600,1600,0,control
1593,7,46400,0,3200,control
1594,7,17700,2500,0,control
1595,7,46300,0,0,control
1596,7,10300,0,0,control
1597,7,15600,0,0,control
1598,7,54300,0,5200,control
1599,7,52100,0,0,control
1600,7,13700,0,0,control
1601,7,68700,2500,3100,control
1602,7,20700,1900,0,control
1603,7,38500,0,0,control
1604,7,16200,0,0,control
1605,7,47000,2500,0,control
1606,7,53400,0,0,control
1607,7,35500,0,4300,control
1608,7,54200,1500,0,control
1609,7,48000,2000,0,control
1610,7,30300,3000,0,control
1611,7,39200,0,0,control
1612,7,38600,1500,2800,control
1613,7,9900,2000,0,control
1614,7,17200,0,0,control
1615,7,30100,0,0,control
1616,7,31700,1100,0,control
1617,7,21600,0,4200,control
1618,7,38200,0,0,control
1619,7,48600,2600,0,control
1620,7,15300,2800,0,control
1621,7,32200,0,1700,control
1622,7,49000,0,0,control
1623,7,52700,2000,0,control
1624,7,40900,0,0,control
1625,7,7000,1800,2400,control
1626,7,8100,2700,0,control
1627,7,31500,0,3100,control
1628,7,27600,3000,0,control
1629,7,17900,3000,0,control
1630,7,41900,1600,0,control
1631,8,54400,0,4200,control
1632,8,25500,1600,0,control
1633,8,47100,0,4500,control
1634,8,14800,0,0,control
1635,8,29500,0,0,control
1636,8,53400,0,0,control
1637,8,29100,0,0,control
1638,8,66500,2500,0,control
1639,8,42000,0,0,control
1640,8,35500,0,0,control
1641,8,6900,1200,3000,control
1642,8,10800,0,0,control
1643,8,8900,0,2200,control
1644,8,40400,1700,0,control
1645,8,9200,0,0,control
1646,8,43900,0,2500,control
1647,8,51800,0,0,control
1648,8,60900,1200,0,control
1649,8,34200,2700,0,control
1650,8,41600,0,2000,control
1651,8,56100,0,0,control
1652,8,45800,1700,0,control
1653,8,26000,0,0,control
1654,8,72700,2600,0,control
1655,8,65300,2700,3100,control
1656,8,20300,1900,0,control
1657,8,4100,2100,0,control
1658,8,44900,0,0,control
1659,8,49300,0,3000,control
1660,8,43500,1400,2100,control
1661,8,67200,0,0,control
1662,8,33100,0,0,control
1663,8,43700,0,0,control
1664,8,47100,2200,0,control
1665,8,35300,1800,0,control
1666,8,27900,0,0,control
1667,8,17800,0,0,control
1668,8,33900,0,1800,control
1669,8,56800,0,0,control
1670,8,35700,0,0,control
1671,8,23700,0,0,control
1672,8,55300,0,0,control
1673,8,25500,0,0,control
1674,8,19700,0,0,control
1675,8,55900,1100,0,control
1676,8,52500,0,0,control
1677,8,34500,0,0,control
1678,8,35300,0,0,control
1679,8,40700,0,0,control
1680,8,14500,2800,0,control
1681,8,49400,0,0,control
1682,8,31200,2100,4200,control
1683,8,14800,1500,2600,control
1684,8,35200,3000,0,control
1685,8,37900,3200,0,control
1686,8,49800,3400,0,control
1687,8,39800,0,0,control
1688,8,75600,2100,0,control
1689,8,49900,0,0,control
1690,8,54600,0,0,control
1691,8,53000,0,0,control
1692,8,49300,0,0,control
1693,8,64100,0,0,control
1694,8,75900,0,1900,control
1695,8,27600,0,0,control
1696,8,29700,0,0,control
1697,8,20600,1600,3900,control
1698,8,24800,0,0,control
1699,8,59800,2400,0,control
1700,8,35200,2900,4100,control
1701,8,42600,0,0,control
1702,8,53500,1600,0,control
1703,8,56400,0,0,control
1704,8,34500,2100,0,control
1705,8,20200,1100,0,control
1706,8,75600,0,0,control
1707,8,29300,0,0,control
1708,8,24700,2100,0,control
1709,8,41800,1400,0,control
1710,8,12000,2300,2400,control
1711,8,49000,0,1900,control
1712,8,37400,2400,2900,control
1713,8,41500,1400,0,control
1714,8,49200,0,0,control
1715,8,15300,2600,0,control
1716,8,14200,0,0,control
1717,8,43900,0,0,control
1718,8,53700,1600,0,control
1719,8,67200,1700,0,control
1720,8,22000,0,0,control
1721,8,53500,1100,3900,control
1722,8,32300,0,0,control
1723,8,32800,0,0,control
1724,8,23600,0,3800,control
1725,8,34500,1700,1900,control
1726,8,59300,0,3800,control
1727,8,24100,0,4100,control
1728,8,20600,0,0,control
1729,8,56600,2100,2800,control
1730,8,29200,0,0,control
1731,8,40100,0,0,control
1732,8,16200,1300,0,control
1733,8,57000,0,0,control
1734,8,29900,0,0,control
1735,8,37200,0,2700,control
1736,8,9300,0,0,control
1737,8,75600,1800,3400,control
1738,8,82600,1500,3800,control
1739,8,30400,4200,0,control
1740,8,40300,0,0,control
1741,8,20800,2600,4000,control
1742,8,26800,1800,0,control
1743,8,73400,0,0,control
1744,8,15700,1800,0,control
1745,8,40500,0,3000,control
1746,8,40800,400,0,control
1747,8,17900,0,0,control
1748,8,29800,0,0,control
1749,8,6200,0,0,control
1750,8,29800,800,0,control
1751,8,30700,0,3200,control
1752,8,31500,2100,3100,control
1753,8,43500,1900,0,control
1754,8,55900,2000,3000,control
1755,8,41300,0,3200,control
1756,8,48800,0,0,control
1757,8,22700,0,0,control
1758,8,53100,1600,0,control
1759,8,32600,0,0,control
1760,8,5600,2900,0,control
1761,8,78700,0,0,control
1762,8,25200,0,0,control
1763,8,43600,2500,2100,control
1764,8,30600,0,0,control
1765,8,78100,2300,0,control
1766,8,23300,1700,0,control
1767,8,45600,2800,0,control
1768,8,27200,0,4300,control
1769,8,42400,0,1600,control
1770,8,32800,1900,0,control
1771,8,7500,0,0,control
1772,8,61400,1800,0,control
1773,8,28700,3000,0,control
1774,8,40500,2500,0,control
1775,8,12700,1500,0,control
1776,8,48900,2500,0,control
1777,8,56900,0,0,control
1778,8,50800,0,0,control
1779,8,46100,3000,0,control
1780,8,43500,0,0,control
1781,8,48000,2200,0,control
1782,8,12600,0,4700,control
1783,8,8900,2500,0,control
1784,8,31200,2200,0,control
1785,8,31100,0,0,control
1786,8,49900,0,3100,control
1787,8,47600,0,0,control
1788,8,30000,2700,3900,control
1789,8,57300,0,0,control
1790,8,59800,0,0,control
1791,8,23800,0,2100,control
1792,8,16200,0,0,control
1793,8,58500,1800,4700,control
1794,8,60300,1800,0,control
1795,8,43500,0,0,control
1796,8,58900,0,3200,control
1797,8,30900,2100,3300,control
1798,8,44900,0,0,control
1799,8,41500,2500,0,control
1800,8,58200,0,0,control
1801,8,36400,0,0,control
1802,8,55600,2000,0,control
1803,8,12500,0,2200,control
1804,8,31600,0,4300,control
1805,8,34300,0,0,control
1806,8,6300,0,0,control
1807,8,30800,2200,3200,control
1808,8,28300,0,0,control
1809,8,46300,0,0,control
1810,8,43000,2000,0,control
1811,8,12500,2200,0,control
1812,8,30600,0,0,control
1813,8,33000,1700,0,control
1814,8,62500,1900,3300,control
1815,8,40200,2000,1500,control
1816,8,16000,2400,0,control
1817,8,18100,0,0,control
1818,8,29800,0,2600,control
1819,8,34000,0,2000,control
1820,8,39900,0,0,control
1821,8,51700,0,1900,control
1822,8,44800,2300,0,control
1823,8,32200,0,3700,control
1824,8,67800,0,0,control
1825,8,27300,0,0,control
1826,8,28500,2100,0,control
1827,8,55400,0,0,control
1828,8,9600,0,0,control
1829,8,51500,0,0,control
1830,8,36700,0,3300,control
1831,8,18600,1700,2500,control
1832,8,26100,2500,3200,control
1833,8,30800,1200,0,control
1834,8,38200,1600,1900,control
1835,8,62000,2000,0,control
1836,8,26300,0,3600,control
1837,8,32800,2400,0,control
1838,8,33600,0,0,control
1839,8,31500,0,0,control
1840,8,5900,0,0,control
1841,8,45200,0,0,control
1842,8,11500,0,0,control
1843,8,24800,0,3200,control
1844,8,56100,2300,0,control
1845,8,48100,0,0,control
1846,8,57700,0,1500,control
1847,8,28800,1900,3300,control
1848,8,36100,2400,0,control
1849,8,49800,0,0,control
1850,8,47800,0,0,control
1851,8,41400,0,0,control
1852,8,22500,0,0,control
1853,8,59700,1300,3100,control
1854,8,48000,0,0,control
1855,8,19500,0,0,control
1856,8,8500,0,0,control
1857,8,46500,0,0,control
1858,8,25700,1400,0,control
1859,8,38200,2300,2600,control
1860,8,44400,1600,2700,control
1861,9,23500,1500,0,control
1862,9,25800,0,0,control
1863,9,34900,0,0,control
1864,9,58200,0,0,control
1865,9,35400,0,3300,control
1866,9,43100,0,2700,control
1867,9,34100,1800,4000,control
1868,9,38900,2500,0,control
1869,9,25200,0,0,control
1870,9,37400,0,4700,control
1871,9,28400,0,0,control
1872,9,30400,0,0,control
1873,9,40000,0,0,control
1874,9,37000,0,3800,control
1875,9,41800,0,0,control
1876,9,81600,2500,0,control
1877,9,30200,2200,0,control
1878,9,41900,0,0,control
1879,9,17100,0,0,control
1880,9,32900,0,3800,control
1881,9,45600,0,0,control
1882,9,28500,3100,0,control
1883,9,39400,1300,0,control
1884,9,20200,0,0,control
1885,9,23300,1900,1900,control
1886,9,29600,2900,3000,control
1887,9,14900,0,0,control
1888,9,61300,1800,0,control
1889,9,30200,0,0,control
1890,9,35600,0,0,control
1891,9,27200,2600,0,control
1892,9,33100,0,0,control
1893,9,11200,0,2600,control
1894,9,18500,0,0,control
1895,9,28900,0,0,control
1896,9,45600,1800,0,control
1897,9,72400,0,0,control
1898,9,36200,0,0,control
1899,9,57400,0,0,control
1900,9,14100,2400,0,control
1901,9,32000,0,0,control
1902,9,43100,0,0,control
1903,9,24800,2600,0,control
1904,9,34000,0,0,control
1905,9,60300,1900,0,control
1906,9,47800,2700,0,control
1907,9,43100,1500,0,control
1908,9,47200,2400,0,control
1909,9,25300,2100,0,control
1910,9,72300,0,0,control
1911,9,71600,2000,0,control
1912,9,69300,2400,0,control
1913,9,33000,2100,0,control
1914,9,16000,0,0,control
1915,9,29600,0,0,control
1916,9,38900,0,0,control
1917,9,34500,0,0,control
1918,9,40900,0,3100,control
1919,9,61700,1500,0,control
1920,9,14100,1700,3600,control
1921,9,31300,0,2800,control
1922,9,10400,1400,0,control
1923,9,61400,1500,0,control
1924,9,62600,0,0,control
1925,9,14400,2200,2900,control
1926,9,58900,1700,3700,control
1927,9,27500,1500,0,control
1928,9,37700,0,3600,control
1929,9,5100,2100,1500,control
1930,9,6100,0,3500,control
1931,9,55700,0,0,control
1932,9,16500,0,3500,control
1933,9,13900,0,0,control
1934,9,21400,1700,3500,control
1935,9,56800,0,0,control
1936,9,69100,2900,0,control
1937,9,33900,0,0,control
1938,9,66200,0,0,control
1939,9,51600,0,0,control
1940,9,48500,0,0,control
1941,9,66100,1900,0,control
1942,9,62700,1100,0,control
1943,9,47100,1500,0,control
1944,9,28100,3200,0,control
1945,9,45300,0,0,control
1946,9,53300,0,0,control
1947,9,66100,0,1000,control
1948,9,38900,0,0,control
1949,9,21800,2300,0,control
1950,9,15100,0,0,control
1951,9,8500,0,0,control
1952,9,16000,0,4400,control
1953,9,43000,0,0,control
1954,9,23000,0,4100,control
1955,9,16200,2100,0,control
1956,9,73300,2300,0,control
1957,9,29800,1400,0,control
1958,9,7700,2200,2800,control
1959,9,84100,2100,0,control
1960,9,59900,0,0,control
1961,9,15100,0,0,control
1962,9,56600,0,3300,control
1963,9,34700,0,0,control
1964,9,43600,1900,0,control
1965,9,24200,0,1900,control
1966,9,16500,0,6500,control
1967,9,55900,0,1700,control
1968,9,27200,0,0,control
1969,9,44500,0,4000,control
1970,9,28100,1600,2500,control
1971,9,25700,0,1000,control
1972,9,45800,2800,0,control
1973,9,48900,2700,2100,control
1974,9,42000,0,0,control
1975,9,60700,2400,0,control
1976,9,52200,0,0,control
